Gene_Symbol,SRR1758112,SRR1758113,SRR1758114,SRR1758115,SRR1758116,SRR1758117,SRR1758118,SRR1758119,SRR1758120,SRR1758121,SRR1758122,SRR1758123
MCA3B,13,10,5,8,3,4,0,9,6,13,6.79,11
MCCB,514.29,716.24,1338.37,432,438,744.87,1025.01,282,779.88,554.95,631,382
MCF2L,2,12,0,1,10,15,1,0,23,8,1,2
MCHR1,45,85,19,3,25,22,21,5,1,20,3,8
MCLN2,8,7,1322.99,43,5,3,1363.85,13,6,9,1094,18
MCTP1,1073,1348.97,3753,71,1258.04,2422.9,3816.96,49,2415.61,1891.16,1777.51,29
MD12L,0,1,4,0,0,1,3,0,1,3,5,0
MD2L1,66,134,2142.17,1178,79,117.55,1771,1069,156,85,787,980
MDC1,97,134,294,60,85,114,158,45,105.66,115,123,57
MDH1B,0,0,4,1,1,0,4,1,0,0,2,0
MDHM,3310,5744.59,4653.88,1184,3259.72,4766.72,4510.77,970.53,5373.95,4469.29,2478,911.82
MDR1,0,0,2,1,0,0,9,1,0,0,5,0
MDR1A,0,2,35,3,0,4,75,5,0,0,33,4
MDR3,1,2.99,26,4,0,0,28,4,2,0,20,2
MECP2,76,146,180,100,140,163,164,71,186,155,110,87
MED25,280,650,226,310.76,473.98,688.93,324.6,257.98,632.91,537.28,136,238
MED27,201,321,603.73,291,241,362,510,209.94,333,258,411,206
MED7,259,554,1025.56,232.03,349.03,648,937.71,192.98,728.01,563.62,511,224
MEF2B,0,1,0,0,1,0,0,0,0,0,1,0
MEGF8,63,102,69,66,70,88.13,66,53,96,96,21,56
MEI4L,18,63,42,155,23,158,22,128,356,62,41,104.47
MELG,0,0,0,4,0,0,0,18,0,0,0,5
MELK,0,1,0,3,0,0,0,2,1,2,0,4
MELT,0,3,0,12,2,2,2,3,4,3,1,3
MEMO1,554.01,919.01,2891.39,2464.91,666,1050,2400,2272.99,994.84,754,1126.06,1804.14
MEOX1,0,0,30,11,1,0,26,1,1,1,19,3
MEP1B,0,2,0,8,0,3,0,9,2,2,0,11
MERL,578.13,1188.29,1236.81,2694.43,668,1142.14,1203.75,2135.76,1170.82,935,685.71,1952.91
METK2,56.87,87,24,42,14.13,49.8,5,56,48,34,4,46
METRN,5,6,15,1,19,17,15,1,11,6,10,0
MF2NB,275,470,578,286,251,541,541,383,580.28,466,241,395
MFAP1,951,2034.83,2479,3870.6,1327,1662.44,2459.36,2200.23,1989,1688.01,1274.87,3551.45
MFAP4,23,42,518.35,40.19,39,66,271,13,21,64,290.74,77.03
MFHA1,1501.33,2916.64,3673.62,5367.54,1971.82,2481,3553,4927.39,3010,1979.48,1797,3685.49
MFRP,5,1,1,2,12,2,1,2,2,3,0,7
MGP,66,44,25037.13,47,50,76,15425,30,72,61,6314,50.67
MGST1,531,770.14,874,369.96,549.97,989.01,873,387,958.86,674.12,421.96,346
MGT4B,531,1104,1098,779,629,831.87,1094,668,938,949,533,661.03
MICA1,37,37,112,9,32,29,79,8,17,32,60,12
MICA3,63,68,222,12,51,43,210,19,42,62,118,23
MIF,1613,3415,3165,479.01,1812.01,3019,2308.04,467,3227.94,2537.51,1090,371
MIM1,0,0,1,6,0,1,1,4,0,0,0,14
MIOX,2,0,0,0,6,0,0,1,3,4,2,2
MITF,7,9,12,4,7,6,16,6,9,7,7,5
MIXL1,0,0,1,14,0,0,2,17,1,0,2,16
MK07,421,629.09,539.36,302.98,509.03,494.94,449.92,391,454,505.04,281.74,251.97
MK13,8,13,119,148,11,37,134,126,27,20,58,142.99
MK14,1768.39,2986.95,10671.92,5669.09,2164.54,3013.29,8993.17,5057.1,3333.15,2839.64,5244.11,5121.53
MLEC,0,0,30,1,0,0,34,0,0,0,28,0
MLL4,66,111,77,31,77,84,92,15,104,123,54,36
MLP3A,2039,3182,1125.99,414,2415.05,2751.96,1406.03,481.21,2015.82,2871.89,685,466.02
MLP3C,14,42,3044.01,88,13,40,3137,66,45,20,1567.18,88.88
MLRA,3,0,16,2,0,0,12,2,1,0,3,3
MLRB,0,3,2,9,1,0,2,16,0,0,1,12
MLRS,26,43.58,537,121,12,16,452.52,64,2,1,289,14
MLXPL,0,2,5,42,2,6,7,22.19,3,9,16,30
MMP11,59,79,2096.98,51,30,51,1581.9,21,31,47,921.99,21
MMP13,28,67,23313.78,75,47,64,25983.17,63,53,41,7730.11,81.02
MMP14,356,419,1971.91,998.07,444,450,2478.91,695,508.86,543,1268.09,668.01
MMP16,24,31,40,2,20,30,58,3,37,44,15,5
MMP7,0,0,58,1,1,8,59,1,0,2,4,0
MN1,29,112,53,7,54,153.06,27,3,212,59,40,10
MND1,15,21,590,1651.06,5,12,507,1255,18,4,226,1059
MNS1,451,1210,113,4395.66,523,1339.6,112,3834.8,1001.8,658.28,33,3517.67
MNX1,6,0,260,1,0,0,506.01,0,0,0,215,3
MO4L1,1763.95,3773.56,5321.99,5341.42,2255.04,3591,5308.99,5249.98,3958.43,3060.64,2447.82,5314.51
MOB1A,262,326,2342.72,843,261,359,1925,801,405,354,1155,1140
MOD5,280,446,556.1,1520.02,308,460,634,1832.08,466,421,386,1034
MOES,872,1401,10357.91,972,856,1229,10323.01,700,1161.18,1149,5516.25,758
MOR1A,1,2,6,4,7,5,8,5,13,9,5,1
MORN2,4,15,30.4,4883.85,11,12,47,4315.37,8,17,10,4039.43
MOS1,773,1456.99,1883,902,884,1516.72,1628,921.95,1681.14,1292,848.02,735
MOS1T,0,0,1,1,1,1,1,1,0,0,0,2
MOT13,6,19,3,0,6,2,0,0,6,22,3,7
MOT9,116,182,208,164,116,136,325.08,72,145.1,113,123,89.13
MP2K2,444.26,783,1721.11,505.13,541,853.27,1572.97,388,874.14,735,889.88,314
MP2K7,356,467.96,406,420,506,550,428,392,581,595,336,333.16
MPC2,636,1194.9,1267.01,3355.63,683,1076.75,1180,3170.6,1020.7,890.02,541.94,2646.72
MPPD1,467,1843.46,410.06,648,951.12,3229.27,300.04,493,3506,1262,188,362
MRAP,0,0,1,1,2,0,4,1,0,0,4,0
MRC1,46,2,19,16,56,6,32,12,2,53,24,7
MRF,2,3,5,4,2,1,1,2,0,4,0,1
MRP,657.96,1213,4864,1190,914,1977.02,4248.16,1383,1957.31,1144.12,1652.75,1294.51
MRP2,129,231.42,394,48,145,266,284,46,311,212,183,46
MSD1,48,213,5,42,108,155.19,4,24,211,153,3,57
MSH2,294,573.78,1498,590,349,652,1469,415,703,496,787,464
MSH3,161,585,518.17,256,220,593.97,500,200,415,477.04,293,225
MSH6,595,1188.04,3463.06,1337,825.13,1194.23,3406,992,1389.97,1086,1959,1015
MSHR,0,2,0,6,3,3,1,6,2,1,0,3
MSI1H,612.18,1027,691,579.01,822,782,739,610.8,693.98,876.05,335,590.26
MSLNL,0,0,0,2,0,1,0,125,0,2,1,92
MSMP,0,1,0,0,0,0,0,0,0,0,0,0
MSRA,13,2,0,0,0,0,0,0,1,3,0,0
MSTN1,19,46,230,33,43,64,223,149,24,40,221,153
MSX2,4,1,6,0,11,5,10,0,1,3,1,0
MT21C,1,2,4,0,1,0,3,1,3,0,0,1
MTA70,430,594,610.27,1210.99,273,62,342,132,314,195.98,192,250
MTF2,500.58,583,1838.61,2023.02,558,713.21,1596.64,1351.15,690.13,588.76,1016.97,1338.8
MTFP1,63,91,799,140.08,65,85,882,136,74,53,640,75
MTFR1,536,842.08,2235.22,17203.95,524,722.79,1890,16454.77,743,640.99,944.7,14083.71
MTMRE,604,680,910.05,3207,838,759,871,3047.02,747,958.01,369,2555.64
MTP,0,0,3,20,0,0,2,18,0,0,0,12
MTR,10,18,4,112,3,8,20,173,23,11,11,111
MTR1B,21,80,20,128,44,65,31,115,51,59,23,95
MTX1,153,320,385,389.01,176,314,326,513,320,264,164,372
MUC1,1,6,9,8,3,2,3,5,2,4,0,8
MUC16,0,0,3,130,0,3,2,58,2,0,1,56
MUC2,0,0,0,1,1,0,0,5,0,0,0,0
MUC4,0,0,0,24,0,0,7,8,1,0,0,0
MUC5A,0,0,0,3,1,2,0,4,0,0,0,0
MUC5B,0,5,0,12,1,12,1,21,2,6,0,24
MUCM,4,17,22,2,3,11,13,15,10,6,4,7
MUG1,0,0,0,1,0,0,15,0,0,0,2,1
MURC,650.98,1593,245,129,1007.28,2047,233,103,1820.79,1586,90,135
MUSK,0,1,2,10,0,0,4,19,2,0,2,11
MVD1,153,238,825,144,155.71,321.31,597.75,102.99,285,290,400.65,93
MY15B,0,0,1,0,3,1,3,0,0,3,1,0
MYADM,454,121,99,64,567.09,182,71,24,307,644,32,51
MYCBP,181.94,397.78,703,2443.03,197,497.44,729,2389,533.99,268,482,1871.56
MYCD,1,4,144,47,3,2,128.01,40,4,4,163,57
MYH1,1,2,0,8,2,0,0,2,0,0,0,6
MYH13,0,1,0,18,0,0,2,10,3,0,0,5
MYH2,0,0,0,0,0,0,0,0,0,0,0,0
MYH3,0,0,0,0,0,0,0,0,0,0,0,0
MYH6,0,0,0,2,0,0,0,2,0,0,0,4
MYH7,0,0,0,2,0,0,0,0,0,0,0,2
MYH7B,0,3,0,6,0,0,2,2,0,0,0,9
MYH8,0,0,0,1,0,0,0,0,0,0,0,0
MYL6,1466.2,3186.19,4730.61,687,2012,2547.99,3816.65,547,2774.04,2291.52,2789.4,711.21
MYLK,12,32,1132,93,11,2,1723,66,4,9,1190.05,77
MYO15,9,13,5,0,6,6,2,0,12,8,1,6
MYO1E,506,1255,16303.37,7608.99,605,1526,17912.36,7357.45,1602.23,809.16,7044.56,5611.75
MYO1G,9,14,22.99,2,0,2,19,65,7,6,11,88
MYO5A,13,40,40,7,28,40,66,5,31,16,22,2
MYO9A,5,16,9,5,7,7,9,1,5,9,19,0
MYOC,64,91.9,1,3,75,31,1,1,19,54,3,5
MYOM3,0,1,0,2,0,1,0,2,0,1,0,1
MYOV2,620.03,1382.18,1738.58,1209.43,738.73,1483.8,1415.39,1084.03,1924.98,1202.02,745.13,1060.35
MYP0,324.34,7.35,5,68,17.98,6,2,51.05,9,8,10,46.81
MYP2,262,141,2,0,60,163.79,0,2,38,85,1,0
MYSS,0,0,0,0,0,0,0,0,0,0,0,0
MYT1L,223,480.05,0,37,338.35,510.75,2,22,641.98,455,0,24
N2F1B,2,0,0,0,0,0,1,0,0,0,0,0
N4BP3,0,0,0,0,0,1,0,0,0,0,0,0
NAA10,198.04,366,949,298,237,416,825,281,454.12,320,410,216
NAA50,215,304.01,1755,929.07,189,277.28,1335.99,660.98,326.75,295.02,855,619
NACA,1061,2121.01,4487.07,3951.01,1466,1989.62,4494,3763.99,2025,1686,2672,3190.99
NADAP,86.9,181.98,297.4,353.83,100.88,168.96,326.05,290.98,168.11,151.98,167.64,416.17
NADC,12,14,8,20,18,20,20.98,36,23,19,3,34
NALD2,47,130,41,40,18,43,10,24,102.48,38,22,11
NANO1,12,12,84,3,7,15,54,0,19,8,46,1
NAR2A,5,17,53,1,1,6,26,4,2,7,42,3
NAR4,23,34,56,16010.92,7,16,31,14354.84,27,50.97,19,11575.99
NARF,273,360,467,290,394,305,399.67,162,331,416,232,284
NAT6,31,73,74,7,39,54,56,4,85,70,42,7
NAT8,5,2,9,22,2,2,6,9,3,6,2,30
NAT8B,190,500.98,181,775.78,262.01,404.84,144,711.85,465.93,320,99,719
NAV1,58,104,28,8,51,123,39.76,10,172.99,84.02,17,8
NC2A,244,479.01,591,236,328,481.01,512.68,191,508,397,285.91,287
NCALD,1993.85,4780.12,2773.38,503.06,2440,5561.94,2390.88,462.86,8008.28,4057.75,1337.08,462
NCAM2,572,1695.26,30,202,712.13,2251.37,40,127,2573.78,1301.64,25,116.98
NCBP2,627.98,1035,2057,5019.26,723,1019,1932.31,4148.04,1136.52,926.65,970.53,3466
NCK5L,202,345,221,231,365,360,309,165,285,346,134,216
NCKX1,1,5,1,3,0,0,0,7,3,0,0,1
NCKX2,747.75,612,34,118,644,760.42,46,82,700,607.01,23,86
NCS1,1593.73,4233.99,184.86,626.88,2059.45,2921.49,238,1226.4,3991.92,2505.34,114,650
NDE1,158.01,222,966.5,22615.01,187.2,201,1146.34,21631.77,151,207,429,19659.2
NDF1,169,18,5,242,244,59,10,203,105,240,8,140
NDF2,61,24,0,3,85,50.01,0,3,60,74,0,1
NDF4,1,0,3,0,0,1,3,0,0,0,0,0
NDF6,431,951.06,0,6,666,2032.99,1,4,2967.42,1030,1,4
NDKM,0,0,1,1,0,0,0,0,0,0,0,1
NDNF,612,794.64,449.26,270,547.86,249,639,459.86,176,558.32,392,181
NDRG3,4443.3,7702.17,3698.14,15533.04,5171.85,6884.55,3616.01,13528.04,7968.59,7276.31,1790,12208.05
NDST4,2,24,2,0,9,33,2,1,42,25,0,0
NDUA4,3687.52,6400.32,3045.62,5405.13,4410.41,5553.95,2630.03,3819.94,5734.96,4802.91,1373,3905.37
NDUA6,1144,2009,2119.93,2781.88,1170,1852.41,1659,2108,2047.86,1417.39,864,1718
NDUAB,482.99,932,957,338,499,695,756.41,384,727,552.92,401,286
NDUAD,1047,1917,1293,874,1237,1761,1126,833.21,1792,1336.4,560,652
NDUB3,455,1005,696,695,548,761.34,652.31,885,893.48,612.7,368,493.51
NDUB4,4,6,3,2,5,7,6,2,5,9,4,2
NDUB7,443,790.06,853,1009.98,495.97,620.09,734.32,1232.46,716,551,301,1037.15
NDUB8,857,1479,810.96,796.39,826.63,1466.01,998,903.3,1384.4,1040.01,507,604
NDUBA,1661.14,2943,2329.96,5863,1807,2484.32,2112.62,3063.6,2612.99,2349,1099.53,3030
NDUBB,547,1206.98,751,1018.6,597.08,1088.57,493,1120,802.94,610.27,222,587
NDUC1,569,967,934,831.25,515,767.03,726.98,559.08,758.94,698,319.01,684
NDUC2,445,892,599,621,488.38,737,687.21,442,874,711,305,457
NDUS5,874,1736.9,887,943,911.05,1138,633,958.15,1330,1122.02,310.75,736.81
NDUS8,976.82,1724.46,1395.91,1293.19,1137,1497.01,1280.03,1286.09,1402.29,1224,664,1013
NDUV2,1048,1867,1897.03,2527,1142.01,1466.03,1781,1813,1621,1387,1033,1394
NEBU,0,3,0,5,0,0,0,3,0,0,0,6
NECA2,345,1511.89,213,130.7,864.77,1460.85,350.98,105,1651.09,1244,156,131.21
NEDD8,317.64,817.26,729.43,429.75,552.48,975,787.99,503,760.14,521.92,283.59,302.14
NEK6,194,313.86,1178.99,351.71,189,381,1355.19,302,537,268.12,647,309
NET1,326,383.44,276,5,422.55,234.31,416,0,138,373.14,319.66,2
NET3,10,0,2,0,11,0,3,0,1,13,0,1
NEUG,3236.81,8416.98,7,27,6302.75,14666.41,15,14,17797.27,8682.22,9,28
NEUL,155,424,260,231,189,496.08,201,182,487,279,148,177.97
NEUL4,76,154,89,108,97,159,53,106,155,119,40,107
NEUT,571,2329,65,3,615,4072.72,108,3,4838.26,1942,39,1
NF1,0,0,0,0,0,0,0,0,0,0,0,1
NF2L1,938,1698.27,920.01,393.26,1036.92,1520,854,278.02,1851.23,1413.86,526,313.99
NF7O,8,6,12,1,6,4,4,0,2,7,2,1
NFE2,11,3,9,11,4,9,7,9,7,9,3,8
NFIA,316,293,510,68,472,377.23,556,59,450.97,396,444,87
NFIB,2,1,2,1,3,1,4,0,2,6,4,0
NFIC,273,319,477,49,326,315,321,50,310,426,234,46
NFIP1,3943.01,7711.09,4632.96,645.88,4491.7,7915.34,4127.99,599,9538.16,6114,2364.72,626
NFIX,1050,913.93,1509,226,1439.04,1015.94,1004.01,205,907.75,1544.16,1007.43,243
NFL,15663.61,18589.59,5554.42,222,9279.76,12017.86,5825.27,11,12855.02,9880.43,3576.6,126
NFS1,2453.6,4362.03,2482.15,1481.71,2708.93,3787.92,2276.16,1405,3794.14,3530.04,1229.03,1341
NFU1,363,582,944.01,2610,356,599,853.28,2125,624,486.01,499,1680.61
NGDN,287,559.99,1002.99,310.18,365.43,530.21,866.79,349,612,485,544.3,306.99
NHSL1,17,11,4,4,28,14,4,1,21,21,5.95,6
NIPA2,1,0,5,0,0,0,3,3,1,0,1,1
NIPA3,1,2,14,3,0,0,16,5,4,1,7,6
NIPBL,5,0,22,0,8,0,8,0,10,0,8,1
NIPS1,398,709.98,505,252,383,686,501,231,681.96,526,280,218
NIT1,671.01,1183.87,2171.41,1908.97,801.02,1171.75,1712.72,1986.94,1301.05,1023.02,825.31,1741
NK2R,1,0,2,1,1,1,0,1,4,0,0,0
NKAI4,893.08,2355.57,6735.99,200.99,1042.05,1657.78,6660.03,287,1905.53,1272.06,3895.76,256
NKD1,192,445,285.4,154,226.98,394,226.33,111,396.96,278.89,165,118
NKL,136,356,276.95,373.04,257.02,394,323,450,251,237,86,295
NKPD1,1,2,0,0,2,3,0,0,2,3,0,0
NKX11,2,3,1,1,0,0,4,1,0,0,0,15
NKX23,0,0,12,3,0,0,9,1,0,0,2,5
NKX25,0,0,20,16,1,0,14,10,0,0,6,7
NKX28,0,1,0,0,1,1,27,0,0,1,0,0
NKX32,2,5,1,8,5,5,6,3,1,6,0,6
NKX62,47,69,22,3,41,63,41,3,10,59,16,1
NKX63,8,0,4,2,1,0,0,2,1,2,2,2
NMD3A,5,9,2,1,4,21,2,1,22,6,1,1
NMDE2,239,1289.14,236,644.17,511,2110.9,183,531,3215.02,927,91,410
NMS,4,1,0,6,0,1,0,2,0,0,0,4
NMU,32,28,33,55,1,17,23,10,3,7,10,17
NNRE,47,92,8,10,60,175.99,14,3,242,155.2,6,21
NNTM,2451.01,4729.3,4515,4538.62,2716.38,3576.97,4169.63,3253.37,3431.33,3919.5,2372.98,3327.18
NO40,286.89,635.01,625.24,496.04,413,754,635,444,883.03,621.07,298,434.98
NOD2A,0,1,11,0,0,0,10,0,1,0,0,1
NOGG,88,163,276.01,47,180,220,157,46,238.95,200,88,48
NOGG2,38,119,11,13,58,117,11,7,191,78,2,11
NOL4,599,1421,42,75,918,1656.82,62.27,31,2296.52,1477.35,17,48
NOL9,258,323,748,503.81,295,385,827,354,389,360,480,425
NONO,1364.09,2583.28,4461.96,3073,1664.99,2315,4388.42,2435.01,2657.22,2267,2641.95,2392.14
NOP10,79,244,164,90,203.01,187,324,86,387,186.2,188,99
NOP16,378.47,932.98,1711.49,549,520,827.09,1648.89,539.24,796.56,650.6,798,501.6
NOS1,2033.99,1035.11,265,2042.53,2586.75,1174,248.15,1744.03,1548.93,2565.51,144,1710.3
NOSIP,204,336,295,547,248,290,227.9,512,288,262,168,484
NOT2,0,0,8,1,0,0,67,1,0,0,37,1
NOTC4,0,0,0,0,0,3,0,2,2,1,0,1
NOX3,0,0,0,0,1,0,1,0,4,0,1,0
NP1L1,3056.9,6222.77,12073.85,4014.9,3730.54,5315.71,12366.41,3235.8,5600.86,5177.78,6713.11,2745.76
NPAL2,0,0,0,0,0,0,0,0,0,1,0,2
NPAS3,497.05,934.96,394,86,531.12,809.97,352,54,793,625,243,31
NPAS4,138.32,401,2,7,362,1081,16,1,922,741.95,4,2
NPFF2,3,3,0,1,0,1,0,0,0,2,0,0
NPM,0,0,778,2,0,0,787,0,0,0,516,1
NPM3,3,7,171,1111.97,1,7,204.96,815.87,4,13,70,28.5
NPS,2,6,21,6,4,12,10,12,9,3,3,1
NPSR1,13,23,0,1,11,17,0,8,11,11,0,1
NPT2A,1,5,0,0,4,0,2,0,1,1,0,1
NPTN,2,12,1,7,16,16,13,7,18,15.91,1,4
NPTX1,0,8,0,0,5,5,2,2,2,2,1,1
NPTX2,1850.57,4098.01,2800.69,253,2825,7403.65,2795.05,276.96,15308.73,4883.7,1310.01,137
NPW,10,42,18,2,11,66,32,2,48,32,6,1
NPY,110,358,23,200,261,825.98,46,10,944,617,4,10
NQO1,124,235,423,84,121,139,297,79,226,154,223,66.17
NR0B1,95,188,1774,245,131.06,178.03,1150,187,221,174,1210,219
NR13,661.03,1580,4655.99,356,863,1545,4624.33,473,2358.7,1425.95,1927.53,378
NR1D1,177,349,153,53,263,254,171.77,36,276,308,116,48
NR1H4,0,0,5,5,0,0,5,1,0,0,3,1
NR1I2,2,1,0,3,0,0,0,4,0,2,0,11
NR2E1,1469.89,2972.04,10020.01,4175.66,1778.1,3073.89,8358.52,3927.99,3656.39,2509.49,4239.06,3330.9
NR2E3,2,0,0,4,0,2,0,0,1,0,0,1
NR3L1,4,0,2,0,2,0,4,0,4,0,5,0
NRAM2,0,0,0,0,0,1,0,0,0,0,0,0
NRARP,47,125,88,27,64,125,107,14,157,101,54,20
NRBP2,15,12,6,9,4,1,0,5,1.04,10,1,2
NREP,4340.75,4911.64,2518.62,868,4064.03,3946.77,2409,1026,3440.33,8685.98,1208,821
NRG1,404,967.65,11,24,751.87,1561.02,21,31,1483,996.99,3,26
NRG3,7,22,0,0,11,18,0,0,17,14,0,0
NRIP1,571,901.15,1656,1131,708,699,1499,1298,803,741,1374.2,627
NRK2,257,443,1018,326.07,225.12,294.58,896,356.77,327.17,327.27,483,346
NRN1L,164,252,5,3,229,276,7,5,377,238,6,0
NRTN,7,6,5,1,12,10,8,9,14,16,2,8
NRX2A,546,988.11,14,18,923,1139.97,14,5,1292.18,1003,5,19
NS1BP,2177.99,3883.68,5972.37,1303.17,2775,3788.99,6305.92,1206.92,4015.21,3115.02,2798,1059.09
NSD1,19,27,35,16,32,23,40,18,22,31,17,7
NSUN2,256,404,895.93,522,325.88,471,924.77,430,492,433,463.2,458
NT5D1,384,869.6,876.38,46,488.02,994,1004.99,38,1097.11,511.8,527,23
NTCP7,62,109,281.2,213,69,82.07,334,133.02,101,70,156,95
NTKL,50,93.89,130,155.4,78,74,151,136,76,64,68,106
NTRK1,0,0,10,6,0,0,8,2,0,0,1,4
NU1M,0,0,0,0,0,0,0,0,0,0,0,0
NU4M,0,0,2,3,3,2,5,3,4.98,0,4,8
NUA4L,26,57.93,37,11,36,17,5,4,33,37,12,11
NUCKS,699,1007.05,1583.01,253,776,1178.02,1519.05,192.03,1354.31,937,873,203.07
NUD16,106,196,94,120,135,125,100,91,205,167,66,97
NUP62,443,781.26,1628.3,2935.28,519.04,798.15,1819.72,2855.36,838.67,674.07,1047.77,2472.5
NUPL,56,97,268,1,146,164,216,5,105,65,131,4
NXPH4,78,151,2,0,45.15,31,4,2,53,54,11,3
NYAP1,0,0,0,0,17,10,26,4,19,16,14,4
NYX,0,0,0,3,2,0,0,2,1,1,1,1
O10AC,0,1,0,0,0,0,0,0,0,0,0,0
O14AG,3,9,21,10,0,6,1,10,2,4,4,7
O14I1,1,0,0,3,0,0,0,2,0,0,0,7
O51Q1,0,2,3,0,0,1,66,0,2,3,12.2,1
O52D1,0,2,0,0,0,0,2,0,0,0,0,1
OAM,161.01,339.94,27,60,192.08,291.05,35,61,506.3,270.81,13,46.96
OASL2,95,150,4605.15,25,52,40,225,12,82,28,189,9
OAZ1,8829.22,15462.01,11307.49,5459.05,9649.7,16026.61,8894.41,4338.91,15760.28,11859.21,3724.17,4086.09
OAZ2,1627.19,3091.13,2746,1594,1900.55,2613.84,2308.39,1254,2698.35,2386,1340.04,1442.6
OBCAM,1,0,0,0,6,0,0,2,0,1,0,0
OBSCN,0,0,1,1,0,0,2,2,0,0,0,0
OC116,0,2,0,1,0,5,0,0,11,1,0,0
OCEL1,2,4,0,0,4,1,0,0,1,8,0,0
ODC,19,26,245,2069.8,18,16,347,2235.69,21,14,141,1346.57
ODF3A,0,1,0,18,1,2,0,32,9,8,1,11
ODFP1,1,2,3,10193.14,0,5,4,8349.01,6,2,10,7849.01
ODR4,856,1354,1134.01,681,1007,1200.08,1040.05,455.8,1422,1070,548.1,395
OFCC1,0,5,10,3,0,3,47,4,4,3,0,5
OFUT1,31,47,171,48,40,48,177.99,53,53.01,40.01,103.98,35
OGFD1,291,531.99,663,195,413,634.15,768,210,696.22,531,304,191
OGFR,1,3,4,3,0,1,2,0,2,1,1,2
OL488,1,3,1,5,0,1,2,4,1,1,0,3
OLF8,0,1,6,3,0,0,2,7,0,0,0,0
OLIG3,2,0,0,14,0,2,2,15,0,0,0,19
OMGP,1517.56,3331.04,69,33,1559.35,3230.24,46,19,3438.15,2172.48,30,24
OMP,2,5,1,0,0,1,5,4,1,5,3,2
ONEC3,2,2,0,1,2,3,1,5,1,0,0,3
OPA3,105,195,133,94.98,137,193,124,120,196,177,91,69
OPN4,0,16,18,0,8,21,38,0,6,10,5,0
OPN4A,0,0,0,0,1,4,0,0,2,0,0,0
OPN4B,1,0,2,3,0,0,0,1,0,0,1,1
OPN5,0,0,3,2,0,0,1,5,0,0,1,1
OPSB,0,0,1,31,1,3,2,19,3,3,1,34
OPSG,0,4,28,2,0,2,29,0,5,1,21,0
OPSO,42,29,19,58,27,40,16,145,49,34,13,121
OPSP,2,6,0,0,2,6,1,0,5,5,0,1
OR2J2,0,3,5,11,1,2,1,3,2,1,0,1
OR4S2,1,0,1,14,0,0,0,7,0,0,0,6
OR6B1,0,0,0,28,0,0,3,16,0,0,1,28
ORN,798,1600,2880.99,3569.85,960,1435,2455.02,3078.04,1455,1189,1248.4,3137.77
OSBL1,113,207,357,498,124,211.98,358,407,254,134,187,436
OSBL2,2757.09,5788.94,3559.68,1132,3589.72,4095.4,3518.69,846.97,4947.23,3761.58,1794.77,783.29
OSBL5,2,3,3,0,5,7,13,1,4,6,0,1
OSCP1,300,711.07,697,2784,386,799.41,573,2403.67,902,583.71,363,2024.99
OSGI1,109,130,550,61,161,202,504,63,156,227,329,151
OSR1,43,44,435.95,5,38,19.98,261.78,1,13,50.88,195.09,3
OSR2,0,0,152,85,0,1,254,78,0,1,98,59
OST4,311.99,781.65,1105,422,348,758,743.01,365.04,783,569.95,382,362
OSTCN,37,15,4,5,14,14,4,7,11,24,4,3
OSTF1,242,416,573,321,194.02,318.98,421,264.1,257.7,356,287,280
OTOG,0,0,0,2,0,1,1,1,2,0,0,1
OTOGL,2,2,4,4,0,6,2,11,4,3,0,2
OTOL1,1,1,0,5,0,0,0,3,0,0,1,5
OTOP1,2,1,0,1,0,2,0,0,0,1,0,1
OTOR,70,75,65,22,97,90.82,103,24,85,53,62,15
OTOSP,1264.11,350,92,85,2268.9,472,58.02,76,222,1978.89,70,103
OTP,4,4,0,12,1,8,0,6,0,2,0,8
OTUB1,741.99,1586.71,1228.39,1303.2,835.02,1170.22,1068.3,1353.16,1247.12,887.94,440.16,822.2
OTUD1,596,969.71,976,544.92,748,942.57,970,235,1422.98,1110,628,425.79
OTUD5,354,643.99,1088.95,875,529,520.08,998.95,987,866.93,741.23,787.02,1009.19
OTX1,2,5,0,1,0,2,1,0,2,1,0,2
OTX1B,5,16,6,10,6,11,7,17,22,12,3,12
OTX2,25,214,0,4,93,5,0,3,11,83,1,4
OTX5,3,2,1,1.04,4,3,2,1,0,7.99,0,3
OVOL1,34,23,15,20,34,45,10,11,83,83,11,9
OVOL2,0,1,2,5,0,1,3,10,0,0,4,4
OVOS,0,0,0,2,0,0,0,0,0,0,0,0
OXA1L,434.28,774.98,746.29,1024.01,565.03,612.16,799.75,663.67,683.18,608.01,381.04,469
OXLA,0,1,97,6,1,1,23,18,3,0,7,11
OXSR1,208,343,549.2,335,229,280,537.8,330,269,288,312,304
OXYR,8,26,10,167,14,15,12,239,29,10,7,153
P,0,2,1,3,2,4,1,1,0,0,0,1
P2RX2,3,5,6,12,5,4,3,8,3,3,1,22
P2RY4,1,4,0,4,1,6,0,1,5,0,1,6
P2Y10,0,0,1,0,0,0,5,18,0,0,0,0
P3C2G,14,29,94,27739.52,28,49,170,22336.14,73,36,130,18787.59
P3F1B,5,21,77,2,7,7,90,3,2,5,37.79,2
P3F3A,1,1,0,0,0,1,0,1,1,0,0,0
P4HTM,698.16,1334.02,498,1170.17,663.58,1285.99,399,1287.04,1683.86,1025,242,1187
P4R3A,482,837.01,952.95,2953.42,692.89,782.21,902.05,1693.96,799.35,730.2,436.75,1754.24
