Species,Class,Label,UnimapRate,UngapRate,AdjN50Scaffold,AdjN50Config,Transcript_diversity,Quant.rate (Amb),Quant.rate_(Abs),Quant.rate,MultiMapRate,MapRate,NGS applicability index
Acanthochromis polyacanthus,Actinopteri,Actinopteri,0.84656,0.530603042,0,0.07368421,0.006540022,0.983992136,0.932081848,0.373821886,0.964246667,0.88232,0.559384981
Ailuropoda melanoleuca,Mammalia,Mammalia,0.774746667,0.81890912,0.8736842,0.3263158,0.18509367,0.991667572,0.860173827,0.286860509,0.95496,0.819796667,0.689220803
Amphilophus citrinellus,Actinopteri,Actinopteri,0.70655,0.778514777,0.1157895,0.2105263,0.021704177,0.994063607,0.840703019,0.243668317,0.979856667,0.726696667,0.561807303
Amphiprion ocellaris,Actinopteri,Actinopteri,0.836123333,0.99491616,0.02105263,0.4421053,0.039365881,0.984664252,0.928722194,0.361341172,0.93349,0.902633333,0.644441426
Amphiprion percula,Actinopteri,Actinopteri,0.860466667,0.997519901,0.6842105,0.6210526,0.026733256,0.971891823,0.777041742,0.62976349,0.96313,0.897313333,0.742912331
Anas platyrhynchos,Aves,Livestock,0.8085,0.998876319,0.8947368,0.7789474,0.120991053,0.995696709,0.820314375,0.247865965,0.922913333,0.885576667,0.747441862
Anolis carolinensis,Lepidosauria,Lepidosauria,0.655783333,0.871482132,0.1684211,0.3052632,0.279809569,0.994402606,0.830356396,0.195601496,0.923046667,0.732723333,0.595688983
Arabidopsis thaliana,Magnoliopsida,Magnoliopsida,0.795736667,0.999654532,0.9894737,0.9894737,0.233082922,0.98364397,0.950340951,0.759132742,0.869656667,0.92609,0.849628585
Astatotilapia calliptera,Actinopteri,Actinopteri,0.72525,0.998218111,0.7684211,0.6842105,0.02387028,0.98190067,0.889755081,0.282089818,0.945406667,0.779853333,0.707897556
Astyanax mexicanus,Actinopteri,Actinopteri,0.785033333,0.997763547,0.4842105,0.5684211,0.013008429,0.971554981,0.821427126,0.610544143,0.899296667,0.88572,0.703697983
Betta splendens,Actinopteri,Actinopteri,0.744916667,0.998807225,0.8,0.7052632,0.233942843,0.980116091,0.774770512,0.540048508,0.958776667,0.78612,0.752276171
Bos grunniens,Mammalia,Livestock,0.740923333,0.997650815,0.6526316,0.8842105,0.295244332,0.982114441,0.758505781,0.506451589,0.851386667,0.889543333,0.755866239
Bos mutus,Mammalia,Mammalia,0.83174,0.301768434,0.03157895,0.01052632,0.240508286,0.990241256,0.769990843,0.638692025,0.969163333,0.86259,0.564679945
Bos taurus,Mammalia,Livestock,0.685276667,0.998596307,0.6,0.7894737,0.269943653,0.9906061,0.78168179,0.53647868,0.984723333,0.700543333,0.733732356
Callithrix jacchus,Mammalia,Mammalia,0.686106667,0.996512588,0.8210526,0.6631579,0.636021578,0.996747353,0.874543241,0.257793476,0.94538,0.74073,0.76180454
Camelus dromedarius,Mammalia,Mammalia,0.662576667,0.867361967,0.5789474,0.3789474,0.163841176,0.99607236,0.596541578,0.334819677,0.952506667,0.71008,0.624169489
Canis lupus familiaris,Mammalia,Mammalia,0.85308,0.997909007,0.4947368,0.6736842,0.52171735,0.991792543,0.922255235,0.359990624,0.955143333,0.897926667,0.766823576
Capra hircus,Mammalia,Livestock,0.72375,0.998210838,0.5368421,0.7684211,0.305672487,0.993844724,0.860892959,0.255267865,0.868436667,0.855313333,0.716665207
Carassius auratus,Actinopteri,Actinopteri,0.693796667,0.991828764,0.4210526,0.4736842,0.156109103,0.988761235,0.875221912,0.636051415,0.91741,0.776366667,0.693028256
Cavia porcellus,Mammalia,Mammalia,0.720473333,0.787409678,0.4105263,0.2210526,0.441452456,0.982888976,0.78506109,0.556971962,0.932183333,0.78828,0.662629973
